ID,agestrat,TOTALscore
134021,144,186
134022,66,158
134023,96,185
134024,96,169
134025,96,165
134026,84,172
134027,22,91
134028,22,58
134029,22,60
134030,20,82
134031,24,81
134032,12,61
134033,28,87
134034,96,175
134035,72,172
134036,24,94
134037,24,79
134039,108,179
134040,22,70
134041,32,92
134042,24,85
134043,14,65
134044,108,188
134046,32,77
134047,10,51
135001,96,185
135002,36,121
135003,120,177
135004,66,153
135005,14,57
135006,54,157
135007,54,156
135008,78,169
135009,66,142
135010,96,181
135012,72,144
135013,42,98
135014,6,26
135015,96,178
135016,228,190
135017,132,189
135018,228,190
135019,66,145
135020,144,186
135021,120,183
135022,10,26
135023,132,186
135024,120,185
135025,228,184
135026,84,167
135027,60,153
135028,32,106
135029,24,91
135030,4,22
136001,132,185
136002,6,24
136003,14,54
136004,132,188
136005,120,183
136006,60,157
136007,96,184
136008,8,30
136011,60,152
136012,2,7
136013,4,17
136014,12,54
136015,28,81
136016,28,82
136017,28,82
136019,24,64
136020,8,22
136021,6,22
136023,24,92
136024,6,27
136025,8,30
136030,16,64
137001,132,189
137002,108,190
137003,66,117
137004,36,90
137005,120,187
137006,84,187
137007,28,73
137008,48,131
137009,66,146
137010,36,103
137011,28,88
137012,54,132
137013,4,27
137014,12,61
137015,60,150
137016,0,11
137017,72,154
137018,48,119
137019,28,79
137020,96,166
137021,54,118
137022,16,52
137023,32,65
137024,4,23
137025,14,65
137026,66,165
137027,96,183
137028,72,160
137029,108,185
137030,78,181
137031,32,116
137032,84,173
137033,108,187
137034,48,147
137035,108,190
137036,66,168
137037,96,190
137038,72,185
137039,54,161
137040,72,147
137041,36,102
137042,10,51
137043,84,169
137044,18,77
137045,36,110
137046,18,73
137047,0,7
137051,66,144
137052,0,8
138001,144,189
138003,108,178
138004,84,170
138005,96,174
138006,228,189
138007,120,190
138008,78,154
138009,54,121
138010,144,190
138011,28,104
138012,144,174
138013,108,177
138014,2,18
138015,4,23
138016,120,178
138017,96,176
138018,12,45
138019,6,30
138020,12,42
138021,24,95
139001,8,39
139002,22,82
139003,48,151
139004,42,125
139005,18,64
139006,22,80
139007,16,64
139008,18,61
139009,48,125
139010,24,86
139011,6,20
139012,24,77
139013,42,117
139014,10,39
139015,42,120
139016,14,48
139017,10,40
139018,48,145
139019,32,124
139020,60,162
139021,48,131
139022,28,103
141001,14,67
141002,20,91
141003,16,83
141004,18,63
141005,14,74
141006,18,71
141007,22,93
141008,24,95
141009,20,91
141010,20,83
141011,22,97
141012,20,68
141013,24,103
141014,14,67
141015,18,99
141016,16,75
141017,16,96
141018,16,80
141019,14,82
141021,18,92
141022,22,104
141023,20,83
141024,22,104
141025,20,103
141026,28,110
141027,24,110
141028,32,109
141029,32,108
141030,28,90
141031,36,105
141032,36,113
141033,36,113
141034,42,111
141035,32,118
141036,42,115
141037,36,111
141038,42,101
141039,36,93
141040,42,104
141041,42,118
141042,42,118
141043,42,102
141044,54,120
141045,48,128
141046,54,115
141047,54,121
141048,48,127
141049,54,132
142001,22,84
142002,14,58
142003,22,103
142004,24,81
142005,24,87
142006,20,76
142007,10,42
142008,32,123
142009,0,5
142010,2,20
142011,8,28
142012,6,30
142013,32,89
142014,16,68
142015,16,66
142016,6,24
142017,32,109
142018,42,128
142019,6,31
142020,14,44
142021,16,75
142022,36,131
142023,60,159
142024,8,36
142025,20,81
142026,24,81
142027,4,9
142028,54,131
142029,36,82
142030,8,30
143001,132,190
143002,108,189
143003,48,140
143004,84,182
143005,84,178
143006,96,181
143007,72,160
143008,78,155
143009,60,140
143010,54,155
143011,32,110
143013,72,146
143017,60,159
143018,96,182
143019,144,188
143021,144,183
143022,132,187
143023,96,178
143024,32,88
143025,120,186
146001,0,11
146002,10,51
148001,84,144
148002,132,174
148003,66,126
148004,20,67
148005,54,144
148006,132,189
148007,108,182
148008,96,148
148009,144,180
148012,84,169
148013,84,166
148015,144,186
148016,48,116
148017,60,149
148018,28,91
148019,72,149
148020,14,56
148021,48,129
148022,108,155
148023,84,172
148024,42,117
148025,96,176
148026,78,159
148027,132,187
148028,60,141
148029,72,142
148030,84,161
148031,108,174
148032,20,73
151001,180,190
151002,120,188
151003,108,187
151004,156,189
151005,48,126
151006,36,92
151007,48,122
151008,78,147
151009,108,187
151010,42,83
151011,42,110
151012,84,148
151013,132,186
151014,36,93
151015,108,190
151016,78,126
151017,36,120
151018,144,190
151019,120,188
151020,132,190
151021,108,187
151022,132,184
151023,120,189
151024,132,189
151025,120,190
151026,120,189
151027,60,140
151028,66,141
151029,48,133
151030,66,134
151031,96,189
151032,96,170
151033,120,188
151034,120,188
151035,54,125
151036,96,185
151037,96,186
151038,108,185
151039,120,189
151040,132,190
151041,36,137
151042,84,153
151043,84,162
151044,84,161
151045,36,83
151046,96,180
151047,96,167
151048,120,188
151049,96,177
151050,24,57
151051,108,168
151052,84,163
151053,84,167
151054,108,170
151055,120,182
151056,96,126
151057,84,161
151058,84,166
151059,84,164
151060,96,179
154001,228,187
154002,32,107
154003,10,37
154004,228,188
154005,84,170
154006,10,49
154007,228,190
154008,228,188
154009,42,120
154010,120,186
154011,228,189
154012,228,190
154013,228,189
154014,228,190
154015,228,190
154016,228,189
154017,144,179
154018,120,181
154019,228,190
154020,228,184
154021,132,188
154022,132,166
154023,228,189
154024,84,184
154025,144,181
154026,228,190
154027,228,190
154028,108,180
154029,108,182
154030,132,175
154031,36,107
154032,12,47
154033,8,25
154035,20,54
154036,60,109
154037,72,131
154038,84,139
154039,144,179
154040,84,176
154041,66,151
154042,42,107
154043,28,75
154044,144,179
154045,132,186
154046,108,172
154047,120,185
154048,144,182
154049,78,160
154050,60,150
154051,6,22
154052,54,163
154054,8,21
154055,66,121
154056,108,187
154057,132,185
154058,120,182
154059,78,150
154060,120,175
154061,72,157
154062,14,49
154063,84,167
154064,48,134
154065,0,4
154066,0,5
154067,84,162
154068,144,181
154069,132,169
154070,132,167
154071,144,184
154072,78,157
154073,48,130
154074,28,109
154075,18,50
154076,132,185
154077,108,165
154078,84,158
154079,132,180
154080,120,175
154081,108,169
201003,66,157
201004,66,151
201005,60,134
201006,60,146
201007,72,148
201008,72,163
201009,72,172
201010,72,171
201011,66,148
201012,72,159
201013,66,154
201014,72,168
201015,66,162
201016,78,158
201020,54,136
201022,66,143
201030,72,185
201031,72,154
201033,66,144
201034,60,153
201040,66,163
201041,60,155
201043,54,143
201047,66,155
201050,72,173
201052,42,116
201053,66,147
201054,66,156
201056,54,163
202001,132,185
202002,108,181
202003,48,102
202004,108,171
202005,66,163
202006,54,142
202007,4,26
202008,96,181
202009,42,124
202010,4,22
202011,8,32
202012,144,178
202013,22,79
202014,42,75
202015,78,149
202016,10,41
202017,120,175
202018,48,100
202019,8,27
202020,6,28
202021,54,137
202022,28,73
202023,8,26
202024,24,108
202025,4,30
202026,42,135
202027,78,165
202028,42,124
202029,60,150
202030,2,12
202031,60,164
202032,42,129
202033,4,23
202034,6,23
202035,28,86
202036,20,74
202037,42,153
202038,42,154
202039,78,182
202040,6,25
202041,18,74
202042,42,140
202043,32,119
202044,36,126
202045,20,79
202046,16,63
202047,48,133
202048,96,179
202049,42,131
202050,96,178
202051,96,180
202052,78,175
202053,2,13
202054,6,29
202055,32,126
202056,54,147
202057,18,78
202058,48,125
202059,18,49
202060,48,110
202061,48,123
202062,42,134
202063,20,65
202064,0,4
202065,14,46
202066,42,111
202067,54,148
202068,28,63
202069,24,81
202070,6,35
202071,54,152
202072,8,41
202073,72,165
202074,18,68
202075,8,37
202076,120,186
202077,96,133
202078,12,36
202079,24,45
202080,36,73
202081,24,37
202082,108,165
202083,132,175
202085,132,168
202086,12,34
202087,42,80
202088,48,107
202089,78,142
202090,72,149
202091,96,180
202092,42,116
202093,60,126
202094,120,183
202095,28,59
202096,96,177
202097,84,168
202098,108,186
202099,144,188
202100,0,4
202101,48,141
202102,0,6
202103,66,180
202104,16,48
202105,24,79
202106,60,151
202107,144,189
202108,8,29
202109,132,188
202110,132,189
206001,42,85
206002,66,130
206003,78,145
206004,22,56
206005,84,167
206006,84,117
206008,84,156
206010,84,172
206015,72,162
206017,84,184
206019,78,172
206020,78,169
206024,84,159
207001,72,150
207002,60,137
207003,10,45
207004,96,179
207005,8,24
207006,20,67
207007,84,141
207008,10,41
207009,120,180
207010,48,123
207011,20,72
207012,48,104
207013,24,95
207014,8,25
207015,24,105
207016,12,53
207017,120,170
207018,96,179
207019,6,25
207020,32,99
207021,60,143
207022,8,37
207023,36,99
207024,84,154
207025,18,56
208001,54,112
208002,48,133
208003,54,180
208004,48,115
208005,48,144
208006,66,180
208007,60,135
208008,54,143
208009,54,151
208117,66,180
208118,66,139
211002,60,149
211003,120,185
211004,144,188
211005,108,188
211006,54,122
211007,42,103
211008,144,185
211009,84,158
211012,24,76
211014,28,117
211015,16,67
211016,78,180
211017,60,157
211018,28,111
211020,108,184
211021,72,166
211022,156,180
211023,108,180
211024,66,173
213001,32,113
213002,54,113
213003,72,96
215001,84,176
215002,48,147
215003,18,61
215004,84,171
215005,120,183
215006,2,20
