ID,agestrat,PHYscore,PHY_SS
141039,36,19,74
141040,42,19,69
141041,42,25,94
141042,42,24,90
141043,42,18,64
141044,54,24,79
141045,48,24,84
141046,54,23,75
141047,54,25,83
141048,48,25,88
141049,54,27,91
142001,22,23,129
142002,14,14,115
142003,22,22,123
142004,24,18,90
142005,24,18,90
142006,20,17,102
142007,10,7,96
142008,32,30,145
142009,0,0,100
142010,2,1,102
142011,8,6,100
142012,6,5,105
142013,32,20,85
142014,16,18,129
142015,16,16,117
142016,6,5,105
142017,32,23,98
142018,42,28,111
142019,6,5,105
142020,14,8,84
142021,16,19,135
142022,36,28,121
142023,60,33,120
142024,8,7,106
142025,20,17,102
142026,24,20,99
142027,4,2,98
142028,54,32,121
142029,36,17,66
142030,8,7,106
143001,132,37,103
143002,108,37,111
143003,48,30,116
143004,84,37,121
143005,84,36,113
143006,96,37,116
143007,72,32,98
143008,78,31,90
143009,60,31,105
143010,54,33,129
143011,32,20,85
143013,72,32,98
143017,60,32,112
143018,96,37,116
143019,132,37,103
143021,132,36,96
143022,132,37,103
143023,96,37,116
143024,32,19,81
143025,120,37,107
146001,0,0,100
146002,10,9,107
148001,84,26,67
148002,132,34,82
148003,66,32,104
148004,20,17,102
148005,54,29,100
148006,132,37,103
148007,108,37,111
148008,96,31,81
148009,132,35,89
148012,84,36,113
148013,84,34,98
148015,132,37,103
148016,48,31,123
148017,60,28,90
148018,28,16,74
148019,72,33,103
148020,14,13,109
148021,48,26,92
148022,108,34,91
148023,84,35,105
148024,42,26,98
148025,96,35,99
148026,78,34,104
148027,132,37,103
148028,60,34,127
148029,72,32,98
148030,84,35,105
148031,108,36,102
148032,20,11,74
151001,156,37,101
151002,120,37,107
151003,108,37,111
151004,156,37,101
151005,48,26,92
151006,36,25,101
151007,48,26,92
151008,78,33,98
151009,108,37,111
151010,42,18,64
151011,42,29,119
151012,84,32,91
151013,132,37,103
151014,36,21,83
151015,108,37,111
151016,78,33,98
151017,36,30,135
151018,132,37,103
151019,120,37,107
151020,132,37,103
151021,108,37,111
151022,132,37,103
151023,120,37,107
151024,132,37,103
151025,120,37,107
151026,120,37,107
151027,60,34,127
